title,url,platform,date,client,severity,Status
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4349,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4350,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4351,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4352,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4353,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4354,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4355,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4356,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4357,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4358,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4359,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4360,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4361,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4362,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4363,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4364,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4365,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4366,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4367,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4368,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4369,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4370,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4371,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4372,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4373,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4374,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4375,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4376,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4377,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4378,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4379,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4380,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4381,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4382,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4383,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4384,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4385,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4386,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4387,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4388,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4389,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4390,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4391,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4392,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4393,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4394,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4395,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4396,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4397,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4398,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4399,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4400,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4401,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4402,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4403,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4404,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4405,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4406,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4407,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4408,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4409,Telegram,47:38.6,Doctutorials,Critical,Closed
Psychiatry lastest unarranged,https://t.me/c/2103576412/4348/4410,Telegram,47:38.6,Doctutorials,Critical,Closed
